,RecipeName,Ingredients,Diet,URL
0,Masala Karela Recipe,"6 Karela (Bitter Gourd/ Pavakkai) - deseeded,Salt - to taste,1 Onion - thinly sliced,3 tablespoon Gram flour (besan),2 teaspoons Turmeric powder (Haldi),1 tablespoon Red Chilli powder,2 teaspoons Cumin seeds (Jeera),1 tablespoon Coriander Powder (Dhania),1 tablespoon Amchur (Dry Mango Powder),Sunflower Oil - as required",Diabetic Friendly,https://www.archanaskitchen.com/masala-karela-recipe
1,Spicy Tomato Rice (Recipe),"2-1 / 2 cups rice - cooked, 3 tomatoes, 3 teaspoons BC Belle Bhat powder, salt - as per taste, 1 teaspoon chickpea lentils, 1/2 teaspoon cumin seeds, 1 teaspoon white urad dal, 1/2 Teaspoon mustard, 1 green chilli, 1 dry red chilli, 2 teaspoon cashew - or peanuts, 1-1 / 2 tablespoon oil - 1/2 teaspoon asafoetida",Vegetarian,http://www.archanaskitchen.com/spicy-tomato-rice-recipe-in-hindi
2,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) - chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves,Salt - to taste,1 teaspoon Lemon juice",High Protein Vegetarian,http://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast
3,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"500 grams Chicken,2 Onion - chopped,1 Tomato - chopped,4 Green Chillies - slit,1 inch Ginger - finely chopped,6 cloves Garlic - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 tablespoon Sesame (Gingelly) Oil,Salt - to taste,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,2 cups Sorrel Leaves (Gongura) - picked and chopped,Salt - to taste",Non Vegeterian,http://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
4,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"1 tablespoon chana dal, 1 tablespoon white urad dal, 2 red chillies, 1 tablespoon coriander seeds, 3 inches ginger - chop, 1 onion - chop, 1 tomato - chop, salt - as per taste, 1 Teaspoon mustard, asafoetida - a pinch, oil - as per use, 1 sprig curry",Vegetarian,https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi
5,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"1 cup Rice - soaked for 20 minutes,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,1 cup Mint Leaves (Pudina) - tightly packed,1/4 cup Coriander (Dhania) Leaves - tightly packed,1 Green Chilli,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),5 cups Water,1 teaspoon Sunflower Oil,Salt - to taste,2 tablespoons Ghee,8 Cashew nuts - halved,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,1 pinch Asafoetida (hing)",High Protein Vegetarian,http://www.archanaskitchen.com/pudina-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices
6,Udupi Style Ash Gourd Coconut Curry Recipe,"500 grams Vellai Poosanikai (Ash gourd/White Pumpkin),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking,4 Dry Red Chillies,1/2 cup Fresh coconut - grated,30 grams Tamarind Water,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,2 teaspoons Sesame seeds (Til seeds),3 tablespoons Jaggery,1 cup Tamarind Water,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,2 sprig Curry leaves - roughly torn,1 Dry Red Chillies",Vegetarian,http://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe
7,Mexican Style Black Bean Burrito Recipe,"4 Tortillas,1/4 cup Black beans - soaked overnight and  cooked,6 to 8 Spinach Leaves (Palak),1 Onion - chopped,1 Tomato - chopped,2 cloves Garlic - chopped,2 sprig Coriander (Dhania) Leaves,1 cup Rice - or brown rice,1 Lemon juice,4 Spring Onion Greens - chopped,4 tablespoons Cheddar cheese,4 tablespoon Hung Curd (Greek Yogurt)",Vegetarian,https://www.archanaskitchen.com/black-bean-burrito-recipe
8,Spicy Crunchy Masala Idli Recipe,"10 Idli - cut into strips,1 cup Green Bell Pepper (Capsicum) - thinly sliced,1 cup Tomato - finely chopped,1 cup Onions - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),3 tablespoons Tomato Ketchup,Coriander (Dhania) Leaves - to taste,Mint Leaves (Pudina) - to taste,2 teaspoons Sunflower Oil,Salt - to taste",Vegetarian,http://www.archanaskitchen.com/spicy-crunchy-masala-idli-recipe
9,Cauliflower Leaves Chutney (Recipe in Hindi),"1 cup cabbage leaves, 3/4 cup tomatoes, 18 grams tamarind, 2 tablespoons white urad dal, 4 red chillies, salt - as per taste, asafoetida - a pinch, 3 cloves garlic, turmeric powder - a pinch, 1 big Spoon oil, 1 teaspoon Rye, 1/2 teaspoon Cumin seeds, 1 sprig Curry leaves",Vegetarian,http://www.archanaskitchen.com/cauliflower-leaves-chutney-recipe-in-hindi
10,Homemade Baked Beans Recipe (Wholesome & Healthy),"250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Extra Virgin Olive Oil,1 Onion - finely chopped,1 clove Garlic - grated,500 grams Tomatoes - pureed,1 tablespoon Honey - or more to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - (coarsely pounded pepper) to taste",Vegetarian,https://www.archanaskitchen.com/homemade-baked-beans-recipe-wholesome-healthy
11,Veg Chili Cheese Burgers Recipe,"2 Burger buns,5 Pickled Jalapenos - sliced,2 Cheese Slices,2 Potatoes (Aloo) - pressure cooked,1 Onion - chopped,1 tablespoon Red Chilli powder,Salt - to taste,1 Whole Egg,1/2 cup Whole Wheat Bread crumbs,4 cloves Garlic - chopped,1 Onions - chopped,2 Tomatoes - chopped,1 cup Homemade tomato puree,1 Green Bell Pepper (Capsicum) - chopped,1/2 cup Soy granules,1 tablespoon Red Chilli powder,1 teaspoon Red Chilli flakes,1 tablespoon Cumin powder (Jeera),1 tablespoon Dried oregano,1 tablespoon Tabasco Original - Hot Sauce,1 teaspoon Honey,Salt - to taste,Sunflower Oil",Vegetarian,https://www.archanaskitchen.com/veg-chili-cheese-burgers-recipe
12,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"2 cup Tamarind Water,1/2 cup Arhar dal (Split Toor Dal),1 teaspoon Asafoetida (hing),Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 pinch Asafoetida (hing),Sunflower Oil - for cooking",Vegetarian,https://www.archanaskitchen.com/andhra-style-ingavu-chaaru-recipe-asafetida-flavored-tamarind-rasam
13,And fish soup recipe - Bengali style fish in tomato gravy,"600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1 Tomato - finely chopped,2 Bay leaves (tej patta),1-1/2 tablespoons Ginger - paste,4 Green Chillies - coarsely crushed,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit lengthwise,Mustard oil - as required,1-1/4 cups Water - add 2 cups if you like a loose gravy,Sugar - a pinch (optional),1 tablespoon Coriander (Dhania) Leaves - optional",High Protein Non Vegetarian,https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-style-fish-in-spicy-tomato-gravy
14,Saunf Aloo (Fennel Potato Curry) Recipe,"5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/4 cup Fresh cream - or 1/2 cup milk,4 sprig Coriander (Dhania) Leaves - finely chopped",Vegetarian,https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe
15,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"2 onions, 1 teaspoon cumin seeds, 2 tablespoons black urad dal (split), 1 tablespoon tamarind paste, 3 dry red chillies, 1/2 teaspoon jaggery, 2 teaspoons oil, salt - 1 teaspoon, as per taste Rye, 1 sprig curry leaves, 1/2 teaspoon oil",Vegetarian,http://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi
16,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"4 Whole Eggs - boiled,1 Cinnamon Stick (Dalchini) - small,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Sunflower Oil,2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,2 cups Coriander (Dhania) Leaves - tightly packed,1 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - chopped,1 Onion - roughly chopped,1 inch Ginger - chopped,4 cloves Garlic",Eggetarian,https://www.archanaskitchen.com/hariyali-egg-curry-recipe-in-coriander-and-mint-gravy
17,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"2 cups curd, 1 cup gourd - peel and tighten, 1 cucumber - peel and grind, 1 green - finely chopped, 1 green coriander - little, 1/2 teaspoon cumin powder, salt - as per taste",Vegetarian,http://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi
18,Homemade Tater Tots Recipe,"10 Potatoes (Aloo),1 teaspoon Garlic powder,1 teaspoon Onion powder,1 teaspoon Dried oregano,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli flakes,2 tablespoon All Purpose Flour (Maida),1 tablespoon Rice flour,Salt - to taste,Sunflower Oil - for deep frying the tater tots",Vegetarian,http://www.archanaskitchen.com/homemade-tater-tots-recipe
